book_id,avg_sentence_length,avg_char_per_word,avg_punctuation_per_sentence,long_word_ratio,noun_ratio,verb_ratio,adverb_ratio,preposition_ratio,adjective_ratio,article_ratio,gerund_infinitive_ratio,downtoner_ratio,amplifier_ratio,demonstrative_ratio,type_token_ratio,genre
pg43925.epub,0.0596,4.3801,4.0537,0.1861,0.2238,0.1953,0.0586,0.116,0.065,0.0888,0.018,0.0028,0.0025,0.0166,0.0028,Western
pg14708.epub,0.0533,4.1664,3.8947,0.1419,0.1944,0.187,0.0875,0.1103,0.078,0.0605,0.0174,0.0059,0.0052,0.0164,0.0107,Romance
pg16497.epub,0.085,4.3714,3.0524,0.1766,0.234,0.1894,0.074,0.1213,0.0718,0.0704,0.0205,0.0038,0.0034,0.0135,0.0028,Romance
pg37710.epub,0.0821,4.1984,3.2589,0.1568,0.2259,0.1918,0.0715,0.1107,0.0703,0.0575,0.0173,0.0029,0.005,0.0144,0.0058,Romance
pg4918.epub,0.0589,4.2474,3.4292,0.1571,0.2619,0.1751,0.0613,0.128,0.0683,0.0862,0.0174,0.0022,0.0022,0.0165,0.0047,Romance
pg8899.epub,0.073,4.1573,2.7256,0.1395,0.2141,0.1846,0.0672,0.1127,0.0705,0.0635,0.0151,0.0039,0.0018,0.0119,0.0071,Romance
pg13960.epub,0.1101,4.1737,2.6558,0.152,0.2262,0.2072,0.0721,0.1084,0.0627,0.0625,0.0181,0.0031,0.0031,0.0135,0.0028,Romance
pg6113.epub,0.0658,4.1549,3.4849,0.146,0.214,0.1951,0.0702,0.1164,0.0743,0.0613,0.0156,0.0032,0.0032,0.0224,0.0024,Romance
pg34628.epub,0.0691,4.2096,3.1512,0.1527,0.244,0.1847,0.0561,0.1072,0.0695,0.0684,0.0147,0.0022,0.0026,0.0148,0.0038,Romance
pg5165.epub,0.0707,4.1846,3.5864,0.1508,0.2184,0.1875,0.0672,0.1127,0.0776,0.0671,0.0157,0.003,0.0033,0.0119,0.0022,Romance
