name,hyphens,colons,semi_colon,interjections,Preposition_or_subordinating_conjunction,personal_pronoun,possessive_pronoun,male_oriented,female_oriented,comma,period, co_conjunction,fres
pg29323.epub,0.01235971,0.00073415,0.01010701,0.00152863,0.126594,0.04382719,0.02496078,0.31549708,0.17441521,0.08455691,0.02105878,0.0436864,63.32867195
pg29766.epub,0.01351571,0.00071193,0.00739966,0.00304185,0.11178229,0.08899005,0.02703141,0.24274824,0.26162143,0.05121512,0.04663079,0.0308391,92.25576236
pg30075.epub,0.00355167,0.00066882,0.00059964,0.00348248,0.0894834,0.09686347,0.01939576,0.1622694,0.12795081,0.05505074,0.04974631,0.03281827,93.23048901
pg30090.epub,0.0040971,0.00095497,0.00720843,0.00298811,0.10054834,0.07131416,0.02262646,0.16707657,0.23823578,0.05930011,0.03511799,0.03148297,88.91944639
pg30137.epub,0.00590867,0.00068437,0.00650628,0.0034893,0.08971913,0.0865672,0.03094096,0.18948405,0.28110902,0.06614231,0.04036783,0.02295993,94.58382788
pg30436.epub,0.01156501,0.00200205,0.0064747,0.00143409,0.09968337,0.06223378,0.02057421,0.26714678,0.18201304,0.06456239,0.04397399,0.03959363,89.61401636
pg30838.epub,0.01141327,0.00139103,0.0104213,0.00343196,0.09975487,0.07784049,0.01741064,0.34677999,0.10366292,0.05242575,0.04744314,0.03069381,98.17787632
pg30980.epub,0.00900363,0.00128813,0.00430262,0.00215131,0.10391353,0.09123143,0.02751551,0.22735406,0.27052114,0.05744792,0.04268091,0.02586883,95.76954112
pg31083.epub,0.01321626,0.00072418,0.00651761,0.00063366,0.11731692,0.06707704,0.01747081,0.28907923,0.03211992,0.05730063,0.04336019,0.04191184,87.61799333
pg31578.epub,0.00926335,0.00124056,0.00399099,0.00199958,0.11255571,0.08661019,0.02800222,0.19675284,0.17994731,0.05476389,0.03898765,0.03569039,89.48870546
pg32114.epub,0.00681216,0.00057813,0.00078013,0.0034618,0.11359157,0.07530283,0.02219173,0.44245196,0.14838895,0.05318772,0.05046425,0.03222189,90.28621806
pg32516.epub,0.01035554,0.00082167,0.00538645,0.00280408,0.11946684,0.07379295,0.02488458,0.12542956,0.18371663,0.06916295,0.03136657,0.03454887,88.82507668
pg32560.epub,0.01102321,0.00160382,0.00959893,0.00231596,0.11159651,0.0679585,0.02344078,0.33143456,0.08118903,0.07077115,0.03038265,0.03449989,83.52027553
pg32882.epub,0.00984854,0.00073204,0.00352435,0.00287532,0.10019849,0.07729403,0.02256485,0.14238211,0.25566808,0.05927989,0.04380146,0.03301713,91.94483903
pg33004.epub,0.00708437,0.00040892,0.00543851,0.00147208,0.10796251,0.09883359,0.02128378,0.27548937,0.10485107,0.06480204,0.04113637,0.02601691,92.23065849
pg33498.epub,0.02052459,0.00178941,0.00709643,0.00419057,0.08991359,0.06897607,0.01792461,0.31837382,0.06740585,0.05599144,0.04808443,0.02757514,94.9015805
pg33695.epub,0.00701011,0.00129134,0.00571877,0.0021676,0.11377577,0.08232256,0.02665683,0.23994922,0.05205248,0.0601854,0.034082,0.03532722,84.42686419
pg33945.epub,0.00896241,0.00319137,0.01026555,0.00473386,0.10641863,0.07439863,0.03009189,0.34728939,0.21175872,0.06721807,0.04432005,0.03924046,96.35473644
pg34277.epub,0.00820815,0.00143464,0.00171132,0.0037198,0.10334475,0.07808498,0.02210359,0.23401862,0.1320446,0.05297892,0.05106266,0.02488062,90.28248292
pg34567.epub,0.01110791,0.00008247,0.0002309,0.00427164,0.07914898,0.06992125,0.01679793,0.3128566,0.07483835,0.05145756,0.06435493,0.01802664,101.860959
pg34619.epub,0.02047247,0.00015307,0.00414552,0.0020919,0.11768158,0.06305008,0.02593179,0.33629588,0.11439221,0.07523152,0.0404092,0.03954183,79.4222577
pg34628.epub,0.0044279,0.00042124,0.01156936,0.00238049,0.09430839,0.07927116,0.02542124,0.21081689,0.18920184,0.05925745,0.04319162,0.04494515,92.65254778
pg34794.epub,0.00802676,0.00026639,0.00687006,0.00322473,0.11414111,0.062153,0.03273092,0.29294422,0.22947913,0.06562308,0.02952022,0.03605379,79.12894395
pg34933.epub,0.00594612,0.00699878,0.00796609,0.00250363,0.11334605,0.06865061,0.03416883,0.24266741,0.19175429,0.08213605,0.01903326,0.04136676,68.11047337
pg34934.epub,0.0153247,0.0015039,0.00329354,0.00330857,0.09821939,0.08357146,0.02198695,0.41458898,0.07009546,0.04765844,0.0562156,0.02577677,103.2510605
pg35003.epub,0.00863438,0.00142253,0.00625249,0.00215033,0.11684531,0.07972741,0.02745799,0.16697531,0.1484568,0.0570663,0.03344582,0.03685325,86.67291493
pg35078.epub,0.00953944,0.00027343,0.00549885,0.00405578,0.09729311,0.06897862,0.01847127,0.38996005,0.07434428,0.05977337,0.0524517,0.02907401,94.7407298
pg35304.epub,0.00875799,0.00072281,0.00343333,0.00277076,0.10098784,0.07400314,0.02278039,0.26362958,0.12160817,0.07740032,0.03851344,0.04059752,93.42425496
pg35358.epub,0.00678895,0.00113766,0.00837057,0.00239556,0.09658981,0.08257721,0.02700778,0.25649899,0.19269075,0.05735454,0.04174182,0.04435936,92.19622602
pg35443.epub,0.01375122,0.0018056,0.01257339,0.00096857,0.12466968,0.0802712,0.02573868,0.17319949,0.07912696,0.05684034,0.03502972,0.02952924,83.28194361
pg35509.epub,0.01063732,0.00150638,0.00322133,0.0022248,0.11657011,0.07086907,0.0265817,0.30416172,0.15743163,0.07096177,0.04132098,0.02651217,89.78743722
pg35517.epub,0.0056336,0.00052406,0.0098406,0.00225636,0.11733023,0.07758935,0.01845841,0.2017278,0.0156108,0.06718102,0.03132688,0.04669918,80.31458959
pg35785.epub,0.01142193,0.00040666,0.0020404,0.00544343,0.09684738,0.10868309,0.02532658,0.29211031,0.12132667,0.05656743,0.05435582,0.03005658,103.4735622
pg35787.epub,0.01561543,0.00062839,0.00450868,0.00309481,0.09253005,0.10225434,0.02089389,0.20053579,0.0877663,0.06307439,0.04807164,0.03099521,100.3180213
pg36159.epub,0.00579422,0.00015261,0.01464972,0.00382891,0.08707053,0.084037,0.02085087,0.103915,0.28154484,0.05187977,0.04809249,0.03810405,97.70801653
pg36588.epub,0.01513782,0.0006167,0.0054187,0.0044731,0.10612913,0.07451323,0.01780194,0.30239601,0.11294202,0.06199843,0.04431983,0.03183792,91.90753306
pg36758.epub,0.00709033,0.00154182,0.00577167,0.00259675,0.10280469,0.09747934,0.02792515,0.22599693,0.15983176,0.05929909,0.03787595,0.03794695,92.01926301
pg37204.epub,0.01453412,0.00134109,0.00618961,0.00146717,0.11315522,0.07800053,0.02417386,0.45310748,0.20675343,0.05512191,0.03920086,0.03203696,93.22677349
pg37338.epub,0.01234919,0.00037873,0.00900828,0.00150138,0.10816697,0.08042526,0.0217362,0.28928903,0.07626109,0.04554185,0.03647947,0.03277336,91.36202119
pg37430.epub,0.01424027,0.00103674,0.00418271,0.00523136,0.0905776,0.06843667,0.02152127,0.43767387,0.0688833,0.06426589,0.05187269,0.02535839,93.45397494
pg37710.epub,0.01412198,0.00182899,0.00099763,0.00225021,0.0939433,0.09334472,0.02485202,0.16139924,0.06771078,0.0773605,0.04714346,0.03501674,91.45694369
pg3828.epub,0.0107099,0.00074317,0.00243595,0.00177535,0.10682643,0.09861854,0.02746423,0.14270745,0.13098435,0.04875189,0.05137776,0.03120485,88.28052711
pg39768.epub,0.00880115,0.00029965,0.01047063,0.00259412,0.11401249,0.06934754,0.02649761,0.35864226,0.08744976,0.07667612,0.04261877,0.03633469,89.68976872
pg39905.epub,0.00597919,0.00140067,0.00250012,0.00290676,0.11143576,0.10017019,0.01962439,0.1909731,0.04727182,0.0571562,0.04099583,0.03439915,89.31810732
pg4046.epub,0.01060378,0.00260378,0.00728302,0.00060378,0.12132076,0.08015095,0.0264151,0.0092068,0.14022663,0.08139623,0.0378868,0.03475472,73.89636558
pg40491.epub,0.00597437,0.001333,0.0037902,0.00362959,0.10305785,0.09812739,0.0239296,0.26447369,0.08644737,0.06281117,0.04341053,0.02823371,87.85770967
pg41313.epub,0.01117144,0.00118327,0.00591634,0.00184451,0.1302116,0.073902,0.02615369,0.14939131,0.1866087,0.06267837,0.02902485,0.03586344,90.41090086
